TNum,PowScore,QP,RP,AvgScore,WinRate
395,1.016001,4,396,111.400002,0.400000
4134,-18.883999,2,387,78.000000,0.200000
118,-16.644001,4,406,90.000000,0.400000
7314,-5.412000,6,369,105.000000,0.600000
230,-2.435999,6,479,118.199997,0.600000
4399,1.428000,2,502,105.800003,0.200000
4977,-9.796001,6,358,126.199997,0.600000
6950,-2.400000,6,393,109.199997,0.600000
6508,9.304001,4,469,125.800003,0.400000
3795,-22.431999,2,397,79.599998,0.200000
61,1.740000,2,484,105.599998,0.200000
4433,28.196003,10,477,157.199997,1.000000
4999,16.612001,6,578,136.600006,0.600000
365,20.271999,10,436,158.199997,1.000000
7055,-2.148001,4,407,105.199997,0.400000
7423,-5.404000,6,379,104.400002,0.600000
5944,-2.939999,6,506,114.599998,0.600000
7056,21.156000,6,475,154.199997,0.600000
6191,-35.919998,2,409,84.599998,0.200000
4347,44.764000,6,537,188.600006,0.600000
