Team,Team_Name
135,Fusion
358,The Gaulbots
542,WHS Robotics
2885,Kronos
3493,VHS Robotics Club
3513,Domo Arigato
3526,M-BOTs
3600,ElectroJackets
3650,Torrey Techies
3712,Purple F.E.A.R. (Fierce Eagle Advanced Robotics)
3848,Shockwave
4112,Warriors
4119,Brain Nuggets
4153,RED
4216,Rise of Hephaestus
4262,Firebirds
4278,De.Evolution
4373,Firebots
4512,West Torrance Robotics
4625,Kings and Queens
4628,Suit Bots
4947,Cougarobotics
5015,Buffalo Wings
5131,Pointers
5135,Team Uncopyrightable
4373,Firebots
4512,West Torrance Robotics
4625,Kings and Queens
4628,Suit Bots
4947,Cougarobotics
5015,Buffalo Wings
5131,Pointers
5135,Team Uncopyrightable
5136,Crusader Creators
5186,PantherBots Alpha
5279,Positrons
5285,Robo Knights
5390,Vikings
5420,LAAE
5498,Unibots
5540,Skynet
5555,Option 16
5755,Nano Slugs
5822,Bacon Bots
5826,The Metal Ducks
5827,Slice-o-Pi
5828,E.M.P. Chaos
5995,Scot Bots
6003,Techno Eagles
6006,Tru Blu 2
6300,Cube Squared
6325,Aluminati
6350,Robo ReVOLT
6370,Scouting Legion
6371,Gear Gurus
6372,Phylum Metallia
6373,Parobots
6374,Gizmologic
6398,Cyber Rajahs
6399,Bacon Bytes
6436,RoboCats
6500,AutomaDons
6565,Stuffed Dragons
6570,Piradians
6668,PantherBot Omega
6685,Downtown Magnets High SChool 
6686,Jordan High School
6693,Brainstorm
5197,GearHeads
4405,Az-Tech Robotics
6940,Apollo19
7033,Tech Attack
7159,Robo Ravens
7114,Robotics Anonymous
7051,Circuit Breakers
359,The Gaulbots2
7460,Thunder
7555,RoboZilla
7528,Ipoly FIRST Robotics team aka Broncos
7530,TBD
7542,OLP MicroChicks
7553,Thavma
7848,Some Guys
7609,Lions
7645,BHS Robotics
7660,Mad Scientist Club
7681,Robo Saints
7686,IDEA
7696,RSF Eagles
7767,Upper Echelon
7741,Robo-Panthers
7831,Wreck It!
7832,Alumbot Asylum
7824,Eaglebots
7833,Built4Cause
7834,CMI Impact
7835,Chocolate Thunder
7859,Pointless Jellyfish
7963,Murrieta Springs Robotics Academy
7992,Lightning Robotics
7528,Ipoly FIRST Robotics team aka Broncos
7530,TBD
7542,OLP MicroChicks
7553,Thavma
7848,Some Guys
7609,Lions
7645,BHS Robotics
7660,Mad Scientist Club
7681,Robo Saints
7686,IDEA
7696,RSF Eagles
7767,Upper Echelon
7741,Robo-Panthers
7831,Wreck It!
7832,Alumbot Asylum
7824,Eaglebots
7833,Built4Cause
7834,CMI Impact
7835,Chocolate Thunder
7859,Pointless Jellyfish
7963,Murrieta Springs Robotics Academy
7992,Lightning Robotics
7971,Undecided
8000,Team Paradox3
8057,Rebelbots
3526,M-BOTs
3600,ElectroJackets
3650,Torrey Techies
3712,Purple F.E.A.R. (Fierce Eagle Advanced Robotics)
3848,Shockwave
4112,Warriors
4119,Brain Nuggets
1,Team Unlimited 
1,Team Unlimited
7,Voltage Vipers
18,Techno Chix
22,100 Scholars
22,100 Black Men of Atlanta
25,Rock N Roll Robots
25,Rock N Roll Robots
25,Rock'N'Roll Robots
33,Gar-Field
33,Enigma
36,Wyverns
36,Wyverns
37,Python
37,Rising Tide
38,PAKBOTS
38,PAKBOTS
39,The Gingerbread Men
39,The Gingerbread Men
40,Team HAX
40,HAX
54,Gr3yMatt3r
54,Gr3y Matt3r
55,Miners
55,Miners
61,ozone
61,Ozone
71,Teton Gravity Robotics I
71,TGR II
72,Garagebots
87,Yellow Jackets
88,Metalicats
92,Jr. Bomb Squad
93,Blue Cheese Jr
93,Blue Cheese Jr.
110,MFS Foxes
110,MFS Foxes
111,MiniStang
112,RoboKnights of the Round Table
116,Crazy Eights
116,Crazy Eights
118,Steel Hornets
118,Steel Hornets
119,PANTHERS
